uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0511474A,0,85.4,28.5,0,0.9682539682539683,31,1,372
0911024U,0,83.3,26.8,0,1.0105263157894737,21,1,573
9730237V,0,78.8,28.1,0,0.9577922077922078,37,1,603
0670065G,0,87.0,28.7,0,1.0410958904109588,15,1,447
0921168V,31,90.5,30.2,0,0.89272030651341,22,1,494
0440309X,0,76.2,19.6,0,1.2097902097902098,18,1,316
9720021R,59,101.4,28.5,0,0.8908554572271387,20,1,641
0681961M,0,85.0,32.5,0,0.9563636363636364,15,1,538
0900006T,0,86.8,34.5,0,0.9315960912052117,24,1,593
0720081X,0,79.4,28.7,0,1.0274725274725274,22,1,369
0341364Y,0,82.7,27.7,0,0.78125,22,1,456
9740027L,0,79.4,33.2,0,0.9797979797979798,31,1,784
0550758A,29,82.3,28.5,0,1.2528735632183907,22,1,196
0921394R,52,86.6,27.0,0,1.0711297071129706,20,1,495
0594389A,56,64.6,18.7,0,0.8517241379310345,18,1,537
0680111B,101,72.2,22.3,0,0.8591549295774648,21,1,660
0860984C,59,92.2,32.1,0,0.9461077844311377,22,1,650
0491703K,57,71.2,23.2,0,0.7262569832402235,18,1,309
0595277R,85,77.3,28.6,0,1.0214285714285714,23,1,566
0080017A,26,91.0,28.5,0,1.016,19,1,252
0622425Z,0,81.2,28.6,0,0.865625,21,1,597
0911334F,63,80.3,24.4,0,0.9174041297935103,20,1,650
9710826W,0,94.8,34.4,0,0.9936708860759493,24,1,630
0752557X,0,117.8,41.6,0,1.185430463576159,21,1,330
0931204D,0,72.5,22.8,0,0.9354005167958657,21,1,749
0622947S,53,95.8,34.7,0,1.0757575757575757,19,1,685
0593664M,0,71.4,22.2,0,1.2352941176470589,20,1,342
0040055N,81,87.8,30.2,0,0.9681528662420382,18,1,618
0930894S,63,90.2,29.2,0,0.8764568764568764,24,1,805
0622943M,56,81.6,25.4,0,1.1297071129707112,26,1,509
0640227Z,58,96.4,40.2,0,0.9742990654205608,23,1,845
0240037K,27,92.8,30.1,0,1.1886792452830188,19,1,580
0911253T,0,65.1,17.7,0,1.0578231292517006,20,1,605
0594418G,0,73.6,22.3,0,1.0384615384615385,25,1,318
0594303G,0,79.0,23.3,0,0.8326693227091634,23,1,460
0410793P,0,84.1,28.5,0,1.1808510638297873,24,1,410
0680084X,98,66.7,22.7,0,1.0988593155893536,15,1,552
0570326V,47,73.5,28.3,0,1.046692607003891,24,1,526
0131605Z,62,59.0,16.9,0,0.971875,21,1,631
0600007G,0,72.5,24.1,0,0.8700906344410876,21,1,619
0921180H,0,86.3,29.4,0,1.0394736842105263,22,1,310
0941602F,0,91.5,30.6,0,1.1337209302325582,24,1,367
0331880P,59,86.5,34.8,0,0.9050632911392406,20,1,602
0597004T,0,77.9,26.6,0,1.1719457013574661,21,1,480
0021492L,65,65.7,16.6,0,0.9920948616600791,22,1,504
